,agic_sortid,taxable_year,agic,county,all_returns,all_joint_returns,all_taxable_returns,dependents_on_returns,adjusted_gross_income,tax_assessed
5915,26,2011,"1,000,000 and over",Placer,280,238,278,343,619263000,48605000
5916,5,2012,"9,000 to 11,999",Placer,6175,859,1024,1720,64872000,82000
5917,2,2015,"1 to 2,999",Placer,5369,610,283,539,8137000,8000
5918,8,2015,"18,000 to 20,999",Placer,5670,1008,2956,2065,110528000,320000
5919,9,2010,"21,000 to 23,999",Placer,5231,1472,2771,2778,117585000,607000
5920,3,2009,"3,000 to 5,999",Placer,5804,663,1472,954,26155000,30000
5921,22,2010,"200,000 to 299,999",Placer,4230,3875,4215,5087,1004167000,60938000
5922,9,2015,"21,000 to 23,999",Placer,5541,1198,2955,2173,124578000,430000
5923,1,2014,Zero and Deficit,Placer,2645,1102,44,783,-328144000,61000
5924,24,2014,"400,000 to 499,999",Placer,870,788,865,1061,385638000,28518000
5925,3,2003,"3,000 to 5,999",Placer,5639,538,2183,829,25374000,40000
5926,10,2013,"24,000 to 26,999",Placer,4919,1349,2559,2440,125285000,643000
5927,24,2007,"400,000 to 499,999",Placer,668,590,666,778,296618000,21498000
5928,16,2009,"60,000 to 69,999",Placer,8523,5258,8255,6351,553029000,12121000
5929,22,2009,"200,000 to 299,999",Placer,3841,3555,3832,4686,911047000,54401000
5930,7,2010,"15,000 to 17,999",Placer,5836,1255,2850,2797,96249000,275000
5931,19,2003,"90,000 to 99,999",Placer,4940,4249,4914,5458,468600000,14871000
5932,17,2005,"70,000 to 79,999",Placer,7340,5356,7025,6572,549641000,12586000
5933,7,2006,"15,000 to 17,999",Placer,5546,1055,2922,2113,91495000,253000
5934,13,2013,"35,000 to 39,999",Placer,6942,2596,4121,3975,259856000,2471000
5935,5,2005,"9,000 to 11,999",Placer,5532,689,1543,1410,58000000,95000
5936,18,2004,"80,000 to 89,999",Placer,6117,4969,6038,6345,518877000,14102000
5937,11,2016,"27,000 to 29,999",Placer,4760,1167,2728,2061,135660000,852000
5938,18,2011,"80,000 to 89,999",Placer,6768,4919,6588,5992,574933000,14175000
5939,22,2012,"200,000 to 299,999",Placer,5292,4869,5275,6468,1260234000,73650000
5940,8,2012,"18,000 to 20,999",Placer,5631,1321,2733,2615,109694000,285000
5941,10,2006,"24,000 to 26,999",Placer,5017,1383,2784,2376,127881000,885000
5942,21,2006,"150,000 to 199,999",Placer,6076,5449,6055,6956,1040537000,50529000
5943,18,2016,"80,000 to 89,999",Placer,7318,4614,7126,5336,621291000,15856000
5944,16,2004,"60,000 to 69,999",Placer,8355,5645,7814,7203,541927000,11406000
5945,4,2005,"6,000 to 8,999",Placer,5667,629,1585,1073,42537000,72000
5946,26,2005,"1,000,000 and over",Placer,384,334,384,400,1062895000,95732000
5947,12,2011,"30,000 to 34,999",Placer,7441,2632,4068,4251,241671000,1894000
5948,15,2015,"50,000 to 59,999",Placer,10321,4706,8547,5975,566621000,9259000
