_id,permit_number
5ea1d72eeabbc96ff8ab0283,2.00701E+11
5ea1d72eeabbc96ff8ab0284,2.00701E+11
5ea1d72eeabbc96ff8ab0285,M52562
5ea1d72eeabbc96ff8ab0286,2.00701E+11
5ea1d72eeabbc96ff8ab0287,M52563
5ea1d72eeabbc96ff8ab0288,2.00701E+11
5ea1d72eeabbc96ff8ab0289,M52564
5ea1d72eeabbc96ff8ab028a,2.00701E+11
5ea1d72eeabbc96ff8ab028b,M52582
5ea1d72eeabbc96ff8ab028c,M52583
5ea1d72eeabbc96ff8ab028d,2.00701E+11
5ea1d72eeabbc96ff8ab028e,M52585
5ea1d72eeabbc96ff8ab028f,M52584
5ea1d72eeabbc96ff8ab0290,2.00701E+11
5ea1d72eeabbc96ff8ab0291,2.00701E+11
5ea1d72eeabbc96ff8ab0292,M52586
5ea1d72eeabbc96ff8ab0293,M52587
5ea1d72eeabbc96ff8ab0294,M52587
5ea1d72eeabbc96ff8ab0295,M52588
5ea1d72eeabbc96ff8ab0296,2.00701E+11
5ea1d72eeabbc96ff8ab0297,2.00701E+11
5ea1d72eeabbc96ff8ab0298,2.00701E+11
5ea1d72eeabbc96ff8ab0299,2.00701E+11
5ea1d72eeabbc96ff8ab029a,2.00701E+11
5ea1d72eeabbc96ff8ab029b,2.00701E+11
5ea1d72eeabbc96ff8ab029c,M52602
5ea1d72eeabbc96ff8ab029d,M52602
5ea1d72eeabbc96ff8ab029e,2.00701E+11
5ea1d72eeabbc96ff8ab029f,2.00701E+11
5ea1d72eeabbc96ff8ab02a0,2.00701E+11
5ea1d72eeabbc96ff8ab02a1,M52603
5ea1d72eeabbc96ff8ab02a2,M52603
5ea1d72eeabbc96ff8ab02a3,2.00701E+11
5ea1d72eeabbc96ff8ab02a4,2.00701E+11
5ea1d72eeabbc96ff8ab02a5,2.00701E+11
5ea1d72eeabbc96ff8ab02a6,2.00701E+11
5ea1d72eeabbc96ff8ab02a7,2.00701E+11
5ea1d72eeabbc96ff8ab02a8,M52622
5ea1d72eeabbc96ff8ab02a9,2.00701E+11
5ea1d72eeabbc96ff8ab02aa,2.00701E+11
5ea1d72eeabbc96ff8ab02ab,M52623
5ea1d72eeabbc96ff8ab02ac,2.00701E+11
5ea1d72eeabbc96ff8ab02ad,2.00701E+11
5ea1d72eeabbc96ff8ab02ae,M52624
5ea1d72eeabbc96ff8ab02af,2.00701E+11
5ea1d72eeabbc96ff8ab02b0,2.00701E+11
5ea1d72eeabbc96ff8ab02b1,2.00701E+11
5ea1d72eeabbc96ff8ab02b2,2.00701E+11
5ea1d72eeabbc96ff8ab02b3,2.00701E+11
5ea1d72eeabbc96ff8ab02b4,2.00701E+11
5ea1d72eeabbc96ff8ab02b5,2.00701E+11
5ea1d72eeabbc96ff8ab02b6,2.00701E+11
5ea1d72eeabbc96ff8ab02b7,M52642
5ea1d72eeabbc96ff8ab02b8,2.00701E+11
5ea1d72eeabbc96ff8ab02b9,2.00701E+11
5ea1d72eeabbc96ff8ab02ba,M52662
5ea1d72eeabbc96ff8ab02bb,2.00701E+11
5ea1d72eeabbc96ff8ab02bc,2.00701E+11
5ea1d72eeabbc96ff8ab02bd,M52664
5ea1d72eeabbc96ff8ab02be,2.00701E+11
5ea1d72eeabbc96ff8ab02bf,M52665
5ea1d72eeabbc96ff8ab02c0,2.00701E+11
5ea1d72eeabbc96ff8ab02c1,2.00701E+11
5ea1d72eeabbc96ff8ab02c2,2.00701E+11
5ea1d72eeabbc96ff8ab02c3,2.00701E+11
5ea1d72eeabbc96ff8ab02c4,M52666
5ea1d72eeabbc96ff8ab02c5,2.00701E+11
5ea1d72eeabbc96ff8ab02c6,2.00701E+11
5ea1d72eeabbc96ff8ab02c7,2.00701E+11
5ea1d72eeabbc96ff8ab02c8,2.00701E+11
5ea1d72eeabbc96ff8ab02c9,2.00701E+11
5ea1d72eeabbc96ff8ab02ca,2.00701E+11
5ea1d72eeabbc96ff8ab02cb,2.00701E+11
5ea1d72eeabbc96ff8ab02cc,2.00701E+11
5ea1d72eeabbc96ff8ab02cd,2.00701E+11
5ea1d72eeabbc96ff8ab02ce,2.00701E+11
5ea1d72eeabbc96ff8ab02cf,2.00701E+11
5ea1d72eeabbc96ff8ab02d0,2.00701E+11
5ea1d72eeabbc96ff8ab02d1,M52682
5ea1d72eeabbc96ff8ab02d2,M52683
5ea1d72eeabbc96ff8ab02d3,2.00701E+11
5ea1d72eeabbc96ff8ab02d4,2.00701E+11
5ea1d72eeabbc96ff8ab02d5,M52702
5ea1d72eeabbc96ff8ab02d6,2.00701E+11
5ea1d72eeabbc96ff8ab02d7,2.00701E+11
5ea1d72eeabbc96ff8ab02d8,M52703
5ea1d72eeabbc96ff8ab02d9,2.00701E+11
5ea1d72eeabbc96ff8ab02da,M52722
5ea1d72eeabbc96ff8ab02db,M52722
5ea1d72eeabbc96ff8ab02dc,2.00701E+11
5ea1d72eeabbc96ff8ab02dd,2.00701E+11
5ea1d72eeabbc96ff8ab02de,2.00701E+11
5ea1d72eeabbc96ff8ab02df,2.00701E+11
5ea1d72feabbc96ff8ab02e0,2.00701E+11
5ea1d72feabbc96ff8ab02e1,M52884
5ea1d72feabbc96ff8ab02e2,2.00701E+11
5ea1d72feabbc96ff8ab02e3,2.00701E+11
5ea1d72feabbc96ff8ab02e4,2.00701E+11
5ea1d72feabbc96ff8ab02e5,2.00701E+11
5ea1d72feabbc96ff8ab02e6,2.00701E+11
5ea1d72feabbc96ff8ab02e7,2.00701E+11
5ea1d72feabbc96ff8ab02e8,2.00701E+11
5ea1d72feabbc96ff8ab02e9,M52802
5ea1d72feabbc96ff8ab02ea,2.00701E+11
5ea1d72feabbc96ff8ab02eb,2.00701E+11
5ea1d72feabbc96ff8ab02ec,2.00701E+11
5ea1d72feabbc96ff8ab02ed,2.00701E+11
5ea1d72feabbc96ff8ab02ee,2.00701E+11
5ea1d72feabbc96ff8ab02ef,2.00701E+11
5ea1d72feabbc96ff8ab02f0,M52742
5ea1d72feabbc96ff8ab02f1,M52743
5ea1d72feabbc96ff8ab02f2,M52744
5ea1d72feabbc96ff8ab02f3,2.00701E+11
5ea1d72feabbc96ff8ab02f4,2.00701E+11
5ea1d72feabbc96ff8ab02f5,2.00701E+11
5ea1d72feabbc96ff8ab02f6,2.00701E+11
5ea1d72feabbc96ff8ab02f7,2.00701E+11
5ea1d72feabbc96ff8ab02f8,2.00701E+11
5ea1d72feabbc96ff8ab02f9,2.00701E+11
5ea1d72feabbc96ff8ab02fa,2.00701E+11
5ea1d72feabbc96ff8ab02fb,M52842
5ea1d72feabbc96ff8ab02fc,2.00701E+11
5ea1d72feabbc96ff8ab02fd,2.00701E+11
5ea1d72feabbc96ff8ab02fe,M52762
5ea1d72feabbc96ff8ab02ff,2.00701E+11
5ea1d72feabbc96ff8ab0300,2.00701E+11
5ea1d72feabbc96ff8ab0301,2.00701E+11
5ea1d72feabbc96ff8ab0302,2.00701E+11
5ea1d72feabbc96ff8ab0303,2.00701E+11
5ea1d72feabbc96ff8ab0304,2.00701E+11
5ea1d72feabbc96ff8ab0305,M52763
5ea1d72feabbc96ff8ab0306,2.00701E+11
5ea1d72feabbc96ff8ab0307,M52764
5ea1d72feabbc96ff8ab0308,M52765
5ea1d72feabbc96ff8ab0309,M52766
5ea1d72feabbc96ff8ab030a,2.00701E+11
5ea1d72feabbc96ff8ab030b,2.00701E+11
5ea1d72feabbc96ff8ab030c,2.00701E+11
5ea1d72feabbc96ff8ab030d,2.00701E+11
